Molecule ChEMBL ID,smiles,pIC50,Xc-5d,Xch-6d,Xch-6dv,MDEC-33,Xch-7d,Xc-5dv,TopoPSA(NO),PEOE_VSA9,SlogP_VSA2,TopoPSA,Xc-3d,GGI9,TSRW10,GGI4,SMR_VSA6,EState_VSA8,EState_VSA3,AXp-1d,PEOE_VSA8,GGI8,JGI10,SlogP_VSA8,SMR_VSA5,ECIndex,GGI10,VSA_EState1,SlogP_VSA1,GGI5,Xpc-4d,Xch-5dv,JGI3,JGI9,EState_VSA2,GGI6,GGI7,SlogP_VSA5,JGI4,AATSC0d,AXp-2d,AATSC0p,ATSC1Z,SMR_VSA3,IC0,SlogP_VSA3,PEOE_VSA1,Xc-6dv,EState_VSA4,JGI6,JGI1,JGI7,SMR_VSA1,Xc-6d,GATS1d,VSA_EState3,PEOE_VSA10,MIC0,ATSC0i,pIC50_binary
CHEMBL1964245,CNS(=O)(=O)c1ccc(N/C=C2\C(=O)Nc3ccc4ncsc4c32)cc1,8.251811973,0.6590055370191111,0.5253030563718005,0.198250279223327,9.300057377276678,0.8328612319618736,0.2459715552874851,100.19,31.883134187973347,26.35662721730484,136.81,2.3512507599971566,0.2428163580246913,77.49131526484356,1.2216666666666671,17.68124919068985,20.33965059341196,11.26049080475283,0.4307700595792167,17.450792656201006,0.2154273746535651,0.011085807570656,15.78972516415463,4.895483475517775,602,0.2217161514131211,26.7304948125845,15.355672072464747,0.9447222222222224,5.444458597626183,0.1103069415042094,0.0474806201550387,0.0121408179012345,10.80266320486928,0.5258956916099772,0.2560941043083899,5.563451491696996,0.033018018018018,0.7100000000000001,0.2740370487715642,0.3473749238631474,85.0,9.706073385399296,1.88330997708172,14.817828337479405,10.633577208012662,0.0170103454359942,21.46745840046592,0.0202267573696145,0.2068965517241379,0.0106705876795162,13.212334168400758,0.1020620726159657,0.8143629217163446,5.903969361249755,0.0,22.90255186801018,72.42080970637636,1
CHEMBL186396,CN1CCN(CCOc2cc(F)c(C(=O)c3c(N)nc4ccc(C(=O)c5c(Cl)cccc5Cl)cn34)c(F)c2)CC1,6.090443971,0.7949145381606345,0.5100111047824444,0.1722074388843864,20.342725680360864,1.0295897091595396,0.2102835493282777,93.17,21.172169610876644,77.12931845839283,93.17,3.0630843366506264,0.4071913580246914,91.73603226476598,2.7333333333333343,52.112003453915165,21.83146996532536,6.544756405912575,0.4348622283757546,56.61681122979616,0.8090592718568907,0.0099140029443059,5.647177220767728,0.0,1385,0.4163881236608509,37.02353180968524,10.470530430962237,1.7536111111111108,7.212708388533159,0.025,0.0630952380952381,0.0079841442749939,50.68753140212468,1.1283900226757366,0.85328089569161,31.973356838083088,0.0401960784313725,0.6854437869822485,0.2796032399129106,0.2545240009110059,11.555976331360911,19.18449258890996,1.8521082662810493,0.0,15.370440161812713,0.0,38.31175976057352,0.0179109527408847,0.1931818181818181,0.0152371588516358,23.106767417293334,0.0,0.7286412042597487,0.2944911301208226,35.3319406955048,22.49915978849028,142.06463115367526,0
CHEMBL362774,Nc1nc2ccc(C(=O)c3ccccc3)cn2c1C(=O)c1c(F)cccc1F,5.715118285,0.6698547128519365,0.4731842885095212,0.1334491205060323,14.150083638575405,0.7637865396941965,0.1327044268487792,77.46000000000001,5.563451491696996,20.95116301993888,77.46000000000001,1.9503119463564749,0.1987500000000001,78.03070195791807,1.6177777777777782,5.733667477162185,4.9839785209472085,5.563451491696996,0.4344914274382827,17.32374655500707,0.3459467120181406,0.0065599548665502,5.647177220767728,0.0,612,0.1115192327313539,29.41347066548129,5.733667477162185,1.1841666666666666,5.168830060730262,0.025,0.0659013605442176,0.008641304347826,28.50566443151315,0.8067573696145124,0.46531320861678,31.97335683808309,0.0344208037825059,0.6781677572873289,0.2748121815813761,0.2317337531118596,1.1671624033313588,9.384673127209002,1.7209844505607268,0.0,5.733667477162185,0.0,18.19910120538483,0.0187617992933607,0.1612903225806451,0.0136856826063758,18.369904463493285,0.0,0.6702551834130782,0.0,22.97554689770798,17.773350287034145,110.3317282191764,0
CHEMBL5277013,N[C@@H](Cc1ccccc1)C(=O)Nc1cncc(-c2ccc3[nH]nc(NC(=O)c4ccccc4)c3c2)c1,5.979224512,0.5039338936857123,0.5596230055411735,0.1559731513495584,12.115425394271352,0.6358298887049513,0.1058151483725373,125.79000000000002,23.44277139306086,33.037542425400254,125.79000000000002,2.0847711684716987,0.2946836419753087,86.47120209284806,1.732777777777778,10.633577208012662,25.814919345561943,23.4895221671416,0.4390920820878201,22.709970769471862,0.2872260015117157,0.0054682781955509,22.02982791547505,12.462662452073973,1199,0.2023262932353841,0.0,16.367244685174846,1.1736111111111107,5.09406088375861,0.0279508497187473,0.0359848484848484,0.0075559908198797,11.814359458703011,0.712018140589569,0.5521187641723355,15.921440167465814,0.0346555555555555,0.5622222222222223,0.2848780314486505,0.2227942866926489,7.777777777777726,15.181342137549285,1.5376437149543918,11.21535880699783,16.367244685174846,0.0,27.593279407172048,0.0139611400115601,0.1625,0.0115024742535903,9.589074368143644,0.0,0.7788568428853755,13.685232311756828,0.0,13.965914900014685,98.69678092097888,0
CHEMBL410293,NS(=O)(=O)c1ccc(N/C=C2\C(=O)Nc3cc(CO)ccc32)cc1,7.214670165,0.6528346840566897,0.3966088018758157,0.1187183858075353,6.314678491721914,0.631261218647645,0.1866437936783126,121.52,17.07546997009996,19.431504108521143,129.9,2.5931457155837987,0.2778086419753086,73.01662578898812,1.0355555555555558,10.633577208012662,10.633577208012662,22.511328571133387,0.4377061523462003,23.138178930884568,0.2393471277399848,0.0083775554588951,5.573104530069267,11.502365440030694,549,0.1591735537190082,22.43695452126119,15.772550945620605,1.035,4.573358639376397,0.03125,0.0561186186186186,0.0163416848220769,17.4095451693822,0.5119727891156461,0.1962159863945577,11.126902983393991,0.0345185185185185,0.7153188691650232,0.2907664811854148,0.290798659188455,76.44970414201183,0.0,1.814677951265037,21.424710301992324,15.740104602853368,0.0196418550329596,5.563451491696996,0.0213321995464852,0.25,0.0089189084724799,18.318861563241462,0.1443375672974064,0.9634594691535148,19.87594714620848,0.0,20.592367264159968,64.02009243455225,1
CHEMBL86066,CC(C)n1cnc2c(NCc3ccccc3)nc(NCCO)nc21,5.096910013,0.3152352563430426,0.3367701210266096,0.0885853828387445,5.375816976368768,0.5616996051971271,0.1148826058041586,87.89,12.93420203927746,37.777200975899184,87.89,1.3164965809277258,0.095625,72.3067537255338,1.2855555555555558,23.785215578438155,51.56572130715876,24.85571487064668,0.4494566095385242,19.13135364097311,0.2499606324011085,0.0057851239669421,11.16387793838399,26.434071634441786,469,0.0578512396694214,2.008766061980348,10.633577208012662,0.7711111111111112,3.104160216390526,0.0288675134594812,0.0367063492063492,0.005625,12.64872279366088,0.5241269841269841,0.3464073129251701,25.452766720226204,0.0389562289562289,0.5425330812854443,0.2895444358771873,0.2117475951305633,14.224952741020791,19.51903521063298,1.5430371970221597,6.544756405912575,20.307204250644723,0.0,16.727329430080985,0.0169073220686123,0.1538461538461538,0.0119450797560403,5.106527394840706,0.0,0.7137412891986061,15.385014983171963,0.0,14.177568858216132,72.89007700984718,0
CHEMBL486285,CN1CCN(c2ccc(N/C=C3\C(=O)NC(=O)c4cc(Br)ccc43)cc2)CC1,4.327902142,0.3868945341743197,0.2800689695732953,0.1174590389940122,8.483078965318448,0.5720396323632062,0.1083972488411026,64.68,5.573104530069267,49.940966795880975,64.68,1.9944605590097848,0.228125,63.57301371943973,1.7333333333333336,43.44339594118429,55.54374668726338,16.70000751346326,0.4357432384144187,59.35337556206427,0.290501385739481,0.0064862186074307,5.573104530069267,0.0,759,0.1362105907560453,0.7940309314563362,15.533486938863138,1.0277777777777777,4.467328219676498,0.0,0.0380434782608695,0.0108630952380952,5.907179729351506,0.6661224489795919,0.2326388888888888,15.921440167465814,0.0444444444444444,0.6205747605164514,0.2835946791245032,0.2934583432349903,6.879633486047464,10.216698334856808,1.6457847062232096,4.794537184071822,15.116608065707286,0.0,36.33913141416628,0.022204081632653,0.1935483870967741,0.0083085317460317,9.589074368143644,0.0,0.7589055240061953,5.566797924267764,0.0,23.1229610147598,76.21171528975121,0
CHEMBL50894,O=C1Cc2c([nH]c3ccc([N+](=O)[O-])cc23)-c2ccccc2N1,7.823908741,0.4694160968212876,0.3634023029066286,0.1256405177304433,11.510733192247471,0.641567115088133,0.1201800801417545,88.03,22.725446941275703,15.814469299116386,88.03,1.6663395218799633,0.044375,71.29683474088161,1.5355555555555558,5.316788604006331,10.30076712495354,0.0,0.4252412117254095,28.59911056070128,0.1489197530864197,0.0123456790123456,22.16030441862652,6.4208216229260096,370,0.0246913580246913,0.0,5.316788604006331,0.9416666666666664,3.974034337472036,0.03125,0.0475948509485094,0.008875,18.01538762696108,0.3919727891156462,0.2899659863945578,5.563451491696996,0.0415015015015015,0.6740128558310378,0.2726881735342664,0.2171586657276933,8.192837465564718,4.9839785209472085,1.6636813069542955,11.21535880699783,10.30076712495354,0.0,33.41114218500707,0.0163321995464852,0.18,0.0181228741496598,9.717848232889493,0.0,0.6993642143505903,14.564519330510493,0.0,16.05129284655511,53.936839477598696,1
CHEMBL3421968,COc1cc(N2CCN(C)CC2)ccc1Nc1nccc(-c2cn(C)c3cnccc23)n1,5.349401102,0.4420442043866925,0.5530808341495783,0.197919593481087,7.979140256953419,0.8728409653843819,0.1496470776443171,71.34,30.204656100038893,64.75544008908848,71.34,1.9700831640194565,0.219699074074074,82.57419917550006,1.725,50.55319348246183,55.02891444660654,5.948339280986494,0.4338479121772,74.52065737047367,0.3454428067523305,0.0061864435601809,22.16030441862652,0.0,932,0.185593306805428,7.743091712920462,14.953561288656855,0.9863888888888888,4.919773293490913,0.0322748612183951,0.0438941299790356,0.0066575476992143,0.0,0.6972335600907029,0.4783163265306122,0.0,0.0359375,0.5912094225797184,0.2752727835640298,0.2187339371977983,41.00574547543809,24.418944941483456,1.5085320827495596,7.04767198267719,24.42057066729869,0.0,59.77622815024428,0.0162147339555977,0.1666666666666666,0.0129274682846111,4.736862953800049,0.0,0.6070464466965926,4.444826109994795,5.749511833283905,13.56632054892716,95.72720421312258,0
CHEMBL489430,COc1ccc(CN/C=C2\C(=O)NC(=O)c3ccccc32)cc1O,5.161150909,0.4214123310387443,0.1967356362399619,0.0674590389940121,7.832661153972521,0.447438358664093,0.0863439647023607,87.66000000000001,12.6829020713468,24.03068439482125,87.66000000000001,1.486145883549009,0.215,58.61141323462942,1.4711111111111117,7.109797541277533,10.633577208012662,28.99427575265974,0.4460213634817149,23.87161427912701,0.2340639959687578,0.0090296908478726,5.573104530069267,6.544756405912575,533,0.1444750535659626,4.9956062150103175,15.37044016181271,0.5902777777777779,3.77510295391556,0.0,0.0512820512820512,0.0102380952380952,5.749511833283905,0.3844897959183674,0.2239583333333333,21.48489165916281,0.0445791245791245,0.61,0.2839412314976315,0.2272993246837599,0.125,10.633577208012662,1.595461844238322,11.339293589984395,15.160178952647083,0.0,5.563451491696996,0.0192244897959183,0.173076923076923,0.0106646825396825,19.432464716784395,0.0,0.6850117096018735,15.12287443401756,0.0,15.101135628039064,59.88274209827035,0
