Molecule ChEMBL ID,BCUTi-1l,BCUTm-1l,BCUTc-1l,BCUTs-1l,BCUTd-1h,SlogP_VSA2,SpMax_A,TopoPSA(NO),BCUTpe-1l,BCUTi-1h,BCUTse-1l,Xch-6dv,BCUTZ-1l,MID_O,BCUTare-1l,TopoPSA,Xch-6d,VR3_D,PEOE_VSA1,MID_N,Xch-7d,BCUTv-1h,SMR_VSA7,Xc-5d,SlogP_VSA3,VR3_Dzare,BCUTp-1h,BCUTdv-1h,VR3_Dzpe,SRW09,BCUTp-1l,VR3_Dzse,Xch-5dv,piPC3,SlogP_VSA6,PEOE_VSA8,VR3_Dzi,VE1_Dzm,Xc-5dv,BCUTd-1l,VE2_Dzm,BCUTse-1h,VE1_DzZ,HybRatio,VE2_DzZ,GGI3,nBondsA,BCUTare-1h,VR3_Dzv,BCUTdv-1l,pIC50_binary
CHEMBL3678088,10.936759051681188,11.687290134048585,-0.4580299480621677,1.2776520757758731,3.242312398985093,15.39759042596053,2.451199965454437,77.17,2.224218559412489,17.42581775164866,2.420056204895758,0.1452757623361766,5.675560579780269,5.197656297738867,2.174539206307057,77.17,0.4235402420532191,6.521902743331787,9.883888251797686,6.282910315320291,0.678117783211382,20.91607562393156,111.36599575063916,0.6563028207478947,6.544756405912575,6.517110627297123,2.015029393349526,7.006277606115812,6.517480648902832,6.823286122355687,0.5452375199732689,6.51787542340507,0.0372677996249964,5.130638086490952,72.9268813246908,46.42577269247296,6.518006115611683,5.568601503301225,0.148122138505006,0.972656807011324,0.1740187969781632,4.011387198911609,5.568283834570973,0.125,0.1740088698303429,2.2916666666666665,22,4.108993491475253,6.528243917374466,0.993945417228984,1
CHEMBL438088,10.936525039696816,11.686998137325077,-0.5229286202200117,1.2573836235506644,3.2426963489094,39.44172559154064,2.46641147846194,86.72000000000001,2.224470348307503,14.551454833460935,2.4203152375762413,0.1715895915732126,5.675446759195031,9.398690899652664,2.1747171305125192,86.72000000000001,0.5753208424737124,6.6768123633135605,23.564503887285504,4.34592508816169,0.7870874347761886,20.913941640223417,71.74540702472585,0.5566833238403333,22.496978166710456,6.683524128450785,2.012524892419342,6.024087307655349,6.683592584589205,7.506042178518122,0.7412090455757893,6.683320582233867,0.0600895728543784,5.113492679535963,59.1449310563593,24.741247876668265,6.687542074915696,5.722917631298669,0.1255447670383455,0.9727359697529364,0.168321106802902,3.715067244910594,5.722936568199736,0.3333333333333333,0.1683216637705804,2.770833333333333,21,3.5560199231144503,6.688136365987372,0.9872165581313608,0
CHEMBL2331776,10.319766615565236,11.704676441432069,-0.4911891944778754,0.2989379416895785,4.043824207531447,25.853711640540222,2.4161359838306216,97.39,2.2399415711809163,14.548240453252411,2.436245450846032,0.0733506131396089,5.6925390664522935,7.337590658533448,2.1867344148274865,105.77,0.2347080484106438,6.344847277716276,10.05365155780638,5.969659778412006,0.4027676533630692,24.441833685915448,76.53334181009868,0.5127281391382528,10.023291153407584,6.344865471251163,2.954590298840776,6.0227487959063,6.344197880956762,0.0,0.7517513532452882,6.344320217560052,0.0,4.91815444130209,65.82010716643681,29.51798663441215,6.344211430632222,5.377289796522382,0.1490957609160359,0.9713717067235944,0.1792429932174127,3.768318659501344,5.377099570150354,0.1,0.1792366523383451,2.4375,18,3.58099284639434,6.344615132681053,0.6442229487910098,1
CHEMBL396550,10.94688925963924,11.698329384617958,-0.5228285213477037,1.2604629595491266,3.259648931123486,36.103956070521406,2.430241019452465,113.96,2.234727865274176,14.544482574395476,2.4308625604230203,0.1013755292455091,5.686704757263117,11.070048349900729,2.1845604477895475,113.96,0.3055555555555555,6.789475409342235,25.213830510453462,4.02782034604478,0.5207831718495674,22.455871296327743,105.77953645349676,0.4955309238794536,4.794537184071822,6.789594096877693,2.20792542464096,6.025034206581252,6.78898914647576,0.0,0.741407625305751,6.788856681209684,0.0,5.048252157667562,84.06654866466444,21.846575610191152,6.787555722792299,5.922644975910298,0.1253796967421186,0.9725637756092066,0.1645179159975082,3.7150446750698816,5.9225485102502144,0.1481481481481481,0.1645152363958393,2.625,18,3.556048486781617,6.782855601640205,0.7739975928838826,0
CHEMBL5177875,10.944290775693654,11.695614839440106,-0.5192460795257933,1.2168744444262831,4.022258932410484,21.216474460865207,2.514513533472384,88.35,2.231424228018055,17.431210318800314,2.427500372630878,0.1111279874872827,5.683975370309656,7.555704200888109,2.180796582565009,88.35,0.3985685896763759,6.606452535036661,19.35046380656131,4.079273885025823,0.7052938920166818,22.45586873263015,82.38846525233564,0.9282257431616634,12.783180481956393,6.604256369037038,2.2081170241533647,7.014446139842802,6.604156518473752,7.29776828253138,0.5268579223725084,6.604633582234702,0.0709342956618507,5.140200498450899,59.38135155943076,29.586957195081755,6.603852306016174,5.656927635309868,0.1876044072476936,0.9726897257120454,0.1714220495548445,4.0308785813750685,5.656525938033658,0.0909090909090909,0.1714098769101108,3.125,22,4.124808278576466,6.611380675074378,0.7740055463018434,0
CHEMBL218175,10.319766359527668,11.690471779358202,-0.4496651584842012,0.2989384186658075,4.043945353622343,18.8920763614718,2.497639711235131,68.17,2.227977059911173,17.431209555002507,2.4238266543143485,0.1595603367969093,5.67894080100544,5.264393042826724,2.178219414593352,76.55,0.4620275878293181,6.60287137684088,4.567099647791355,4.286591952474306,0.7347848655640373,24.441833616517457,101.50082370928928,1.0568519521415831,22.74434607676364,6.597714057474784,2.954591189414118,7.014442571967132,6.597649538911986,7.050122520269059,0.5268592572848192,6.597891069424991,0.0322748612183951,5.174028841004692,83.75825536551872,17.447681337993632,6.599707871023825,5.653371100081357,0.2334045874413365,0.971319904222426,0.1713142757600411,4.030869311343959,5.652312109693241,0.0869565217391304,0.1712821851422194,3.138888888888889,22,4.124802501918123,6.602468694140456,0.6442343078834671,0
CHEMBL188751,10.9424846076235,11.693539681985714,-0.504966978674941,1.2550695247784134,3.235194906432317,16.859077629157497,2.431711709954921,63.60000000000001,2.230968736662088,13.643274934415794,2.427002839019805,0.0486111111111111,5.682036674729596,7.268990817147816,2.1811614276633184,63.60000000000001,0.1388888888888889,6.411019296804273,9.843390348640757,0.0,0.2569642326840849,20.910860081563467,64.21545986925464,0.4580580389176438,24.05700205284985,6.424203779895038,2.00372207306156,6.023473659038205,6.423491186109961,0.0,0.7412294175354848,6.423224213502139,0.0,4.7318028369214575,36.39820241076966,17.54772460632,6.421305901126376,5.443572539428625,0.0961230699886591,0.9725617595831072,0.1755991141751169,3.7146317132175897,5.443538816984515,0.4814814814814814,0.1755980263543392,2.0,12,3.555596214324145,6.409142519975948,0.98713828160469,1
CHEMBL215127,10.94392760759182,11.69506656929556,-0.5247212138156568,1.242356052882008,3.217636694594604,29.56992598141872,2.397450120128639,72.83000000000001,2.2321055486320813,13.643424170130745,2.4281486655339646,0.080187537387448,5.683444034515195,9.288426174437108,2.1823488436868885,72.83000000000001,0.2381448361039201,6.7108687761175725,14.580253302440804,0.0,0.3587007466386507,20.91474146265633,94.54729521156273,0.3606849769385113,17.63618042992384,6.713632980624796,2.007927673368529,6.023648640048653,6.713009192768967,0.0,0.7415058769879033,6.712776706785325,0.0,4.929063640402444,66.73003775307771,18.40509473754901,6.711125483498446,5.817261199930659,0.1076776472455872,0.9725915643819344,0.1662074628551617,3.7143757278113823,5.817234801474077,0.3333333333333333,0.166206708613545,2.0625,18,3.555406214595072,6.701404023625461,0.9872097400914892,1
CHEMBL213487,10.93489205572353,11.6853744470661,-0.5130295515582565,1.256796958093091,3.2669896942782475,33.33775920379234,2.4519157307307733,77.49,2.222900916997201,14.551362320304657,2.4187528977446133,0.1730041544173156,5.673841274720002,7.404965686256229,2.173137705014084,77.49,0.5815637555679232,6.518690088561272,18.82764093348545,4.325500058603067,0.7854673175205792,20.91534609064881,77.81177409318747,0.5594894492412679,28.917799789636465,6.518675842499341,2.013573460958399,6.023852148012179,6.518744359399905,7.515889085215125,0.741226069660362,6.518583621993702,0.0600895728543784,5.072043922224899,65.21129812482091,42.23567998874263,6.521313814098305,5.571867538398738,0.1371528883875785,0.9728681193051034,0.1741208605749605,3.714868280706905,5.571878462124525,0.3076923076923077,0.1741212019413914,2.2361111111111107,21,3.555823321697296,6.522344584637608,0.987924978565838,1
CHEMBL5291018,10.948177425801948,11.699903725574057,-0.3612318741122961,1.29884847768211,3.2232694929734773,16.79833797965022,2.407381759049904,71.09,2.234699578724109,17.42688892807129,2.430798051690201,0.0697347942995654,5.688010744304686,3.563582783330164,2.1841259222313965,71.09,0.2256590099154984,6.251849506740424,10.633577208012662,6.061679152309268,0.4316252105901959,22.455866843765875,93.89243043127595,0.5515668461264173,6.544756405912575,6.243874509601665,2.2080462357912465,7.006377791267685,6.244063674430391,0.0,0.5435759267473821,6.244604139661753,0.0,4.892227063045954,54.72778011930596,12.741599977525652,6.244407007644083,5.3069972727192924,0.1043616232890726,0.9772380232706046,0.1829999059558376,4.01332975137171,5.3066553669847725,0.05,0.1829881161029231,2.125,18,4.110604084436276,6.25473991280942,0.7740063357348281,1
